Comentário,notaPositiva,notaNegativa,Sentimento
Roseli Da Silva Dutra Sander,1,-1,neutro
Fabiano LimaKaroline Lima,1,-1,neutro
Q tristeza meu senhor 😔😔😔 conforta o coração desses pais,1,-3,negativo
Fernanda Sampaio,1,-1,neutro
Agora o governo ofereseu 100000 mil reais pra abafar o caso,1,-2,negativo
"E tem quem #NÃO quer os PMs dentro das escolas!! Em Brasília, principalmente!! Vão mudar o conceito agora!!
🙌Meus pêsames as famílias!🙌",1,-3,negativo
Sem palavras estamos vivendo num Brasil q da medo de tudo nossos filhos não estão seguro em lugar nem um mais . só por Deus msm .,2,-3,negativo
Misericórdia senhor é o fim dos tempos 😭😭,1,-1,neutro
Misericórdia senhor,1,-1,neutro
Valei me Cristo 😭😭😭😭,2,-1,positivo
Só o que faltava agora o Brasil virou os EUA 😥,1,-2,negativo
Que todos os pais sejam confortados diante dessa tragédia 😪😪😪,1,-3,negativo
Bem-vindo ou goberno de bolsonaro.,1,-1,neutro
Misericórdia 😢,1,-1,neutro
Bruna Caroline,1,-1,neutro
A ignorância é uma força que nunca falha,3,-3,neutro
"Bolsonaro libera porte de arma, isso é só o início... adolescente não pode comprar armas mas seus pais pode... que Deus conforte essas famílias😢",1,-2,negativo
"Se tivessem pessoas de bem armadas no local, provavelmente teriam parado os marginais e a tragédia seria menor.",2,-3,negativo
"Brasileiro quis tanto ser igual os americanos...logo aqui que só absorvem o pior no quesito ""copiar""",1,-3,negativo
"Não são as escola culpadas, são ás criações de filhos desamparados pela família!",1,-2,negativo
"》》Crianças sendo ""educadas"" pelas #ApresentadorasVadias... 💩💰💩💰💩💰 da #TVBrasileira",1,-1,neutro
Sim acho que a escola tem que ter estrutura o meu filho estuda uma que e do governo e tem e me ajudou muito com meu filho num momento que precisei mas educação vem de casa a escola esta auxiliando né complicado,1,-2,negativo
Falta psicólogos r assistente social nas escolas.,1,-2,negativo
"Ficarmos atentos com nossos filhos , ontem mesmo em minha cidade que fica em Pontalina foi evitado uma tragédia como a de Suzano, graças a coordenadora da escola e a Polícia Civil agiram rápido e prenderam o aluno .",2,-3,negativo
"Cadê a guarda municipal pra defender o patrimônio municipal , hoje vemos que a guarda quis vira outra polícia ao invés de ficar nas escolas cais etc.",1,-1,neutro
Nossa quanta besteira para ne tanta coisa pra se preocupar e ainda fica falando de presidente afff,1,-4,negativo
"Isto mesmo 
A guarda municipal deveria tomar conta das escolas",2,-2,neutro
Falta,1,-2,negativo
"Bullying e falta de segurança seriam os principais motivos, claro que não o erro está dentro dos próprios lares, pais omissos, irresponsáveis",2,-2,neutro
"Do nada surge um maluco BOLSONARO e grita:
'A SOLUÇÃO PARA VIOLÊNCIA É FACILITAR O ACESSO ÀS ARMAS PARA A POPULAÇÃO""
Depois faz sinal de ARMINHA e braveja:
""VAMOS METRALHAR TODO MUNDO""
Eleito Presidente dos LARANJAS em nome de DEUS!",3,-5,negativo
