Comentário,notaPositiva,notaNegativa,Sentimento
Lembrem-se que o estatuto do desarmamento está em pleno VIGOR! Também não evitou as quase 65000 mortes.,1,-4,negativo
REALENGO 7 DE ABRIL DE 2011 . LEMBRANDO QUE O BRASIL ERA GOVERNADO PELO PT. 🤣,1,-1,neutro
"""Segue abaixo as coincidências 

2003 - Jair defende milicias
2007 - Flávio quer legalizar milicias
2011- A juíza Patricia Acioli é assassinada por milicianos, Flávio a difama.
2015 - De 70 deputados da ALERJ, Flávio é o único a votar contra CPI q investigara policiais.
2018 - Já em campanha, Jair defende milicias (de novo)
2018- Flávio faz campanha com família ligada ao jogo do bicho (muitos bicheiros viraram milicianos)
2018- Marielle é assassinada (silêncio dos Bolsonaros)
2018 - Dois PM's são presos, acusados de serem milicianos, os dois são irmãos da tesoureira e assessora do PSL 
2018 - Dois candidatos do partido do Bolsonaro quebram uma placa de homenagem a Marielle e Flávio os defende.
2018 - descobrem q uma milícia de São Gonçalo teria atuado em favor de um dos candidatos de Jair Bolsonaro à ALERJ, o coronel Fernando Salema (PSL)
2019 - COAF revela que Fabrício, ex-assessor de Flávio, fez movimentação atípica de R$ 1,233 milhão entre 2016 e janeiro de 2017. O ex PM já cometeu pelo menos 10 homicíd...",3,-2,positivo
O que aconteceu em Suzano não foi culpa do governo meu povo,1,-2,negativo
FANTÁSTICO ESSE COMENTARIO......,3,-1,positivo
Precisamos aprender a votar pessoal.,1,-1,neutro
O grande problema é a ideologia como diz Carlos Matos... você acaba fechando os olhos para coisas pelo simples fato de não ser de seu interesse. No caso o Plínio não ter visto a reportagem sobre os casos comissionados.,3,-2,positivo
Shalom ao Carlos Matos Dedé do Shalom do mundubim,1,-2,negativo
"Realengo 7 de Abril de 2011, 13 mortos, bandido. Ex-aluno do colégio armado com um 38 e um 32 e munição....só relembrando porque tem gente de memória fraca😉",1,-4,negativo
"Bom dia,pergunta ao Plínio se a preocupação dele claro que a de todos,com a resolução de quem mandou matar essa vereadora e a mesma em relação de quem mandou matar o bolssonaro e a pior de todas,desvendar o autor de quem colocou na cabeça daquele doido que se proclamou presidente do Brasil,o Plínio também vai se preocupar?",2,-4,negativo
"Com certeza a tragedia seria outra , talvez muito maior se professores portassem armas, o momento não é para se fazer política , ou culpar esse ou aquele , o momento pede que nos portemos com respeito às famílias que perderam seus entes queridos , e violência não se acaba com mais violência , o mundo todo está repleto de histórias tristes como esta.sejemos então menos egoista e nos aproximemos mais do ser humano e racional que existe em todos nós . Políticos são feitos para o bem do povo e do país , se não há respeito e concordância mútua para um bem maior , nenhum lado se faz correto , nem esquerda e nem direita .",3,-4,negativo
Cargos comissionados *,1,-2,negativo
E dinheiro vai pra onde por Queiroz,1,-1,neutro
"O estatuto do desarmamento está em pleno vigor, entretanto, não evitou a tragédia!",1,-3,negativo
Isso não tem nada vem em aprender a votar,1,-1,neutro
As maiorias dos jovens não querem nada da vida tá no caráter de cada um,3,-1,positivo
Ou arma todos ou desarmam todos...por que o estatuto do desarmamento é bem parcial nao é mesmo.,2,-2,neutro
NÃO adianta falar em tragédia e não fazer nada pela educação,1,-4,negativo
Falhou a família,1,-2,negativo
"Esse negócio de flexibilização das armas é de uma insanidade bem típica do Presidente Jair Bolsona que pregou em toda campanha e ainda continua a pregar o uso do grito, a forma com forma de resolução as relações do cotidiano. arma foi feito para matar e pronto, não tem outra utilidade.",2,-4,negativo
"Estado de Direito impõe monopólio do uso da força ao Estado para promover segurança e justiça.....arma do cristão é o evangelho, do cidadão a Constituição e do bandido a violência. 
Menos Armas, menos letalidade.",3,-4,negativo
