Comentário,notaPositiva,notaNegativa,Sentimento
E o estatuto do desarmamento funcionou mais uma vez 👏,1,-2,negativo
"Gente! Não temos pra onde correr e a palavra de Deus se cumprindo ! O amor está esfriando acabando! E um matando o outro, marido matando esposa! Pai matando filho. Doenças enfim tudo isso por falta de AMOR!única forma e a gnte buscar Deus ele sabe de todas as coisas.....",3,-2,positivo
Que triste eu acho que é o fim do mundo,1,-3,negativo
A gente precisa orar meu Deus do céu...,2,-1,positivo
Que triste.,1,-3,negativo
"20 Anos depois..
de Columbine.... Aqueles 2 demônios... Ainda inspiram esses monstros.",3,-3,neutro
"O terrorismo tá começando a agir no Brasil, CAVUCA",1,-3,negativo
"Governo do odio atraiu toda energia negativa sob o Brasil, eleitores odientos e escr0t0s... desastres, assassinatos em serie, vioencia contra a mulher, tragedias.... isso eh fato..",2,-4,negativo
"Vontade de pegar meus filhos e guarda dentro de uma caixinha, para proteger desse mundo cruel💔😭
Eu não tenho mais psicólogo pra suportar tamanha crueldade !!",2,-2,neutro
"vocês se lembram quando falamos diversas vezes que a posse de armas não iria aumentar a segurança, sim colocar mais vidas em risco? então. exemplos como esse, que se assemelham de certa forma ao massacre de Columbine, infelizmente serão mais comuns. 

força aos familiares nesse momento.",3,-3,neutro
Esses moleque passa o dia inteiro só jogando video game aí no que dá mas aqui no Brasil de menor trabalhar e crime.,2,-2,neutro
Que tristeza! Armas não é solução pros problemas do nosso país.,1,-4,negativo
"Ao invés de ficarem criticando posse, porte e o raio que o parta de armas.. pq não dobram os vossos joelhos e orem pelas crianças atingidas nessa triste tragédia... 
Que Deus tenha misericórdia! 🙏
#Paz",1,-4,negativo
Ate parece que isso só aconteceu pelo porte de armas ..que dizer que quando era proibido nao tinha nada disso assaltos mortes e etc. Deixa desses pensamentos leigos ..quando se quer fazer algo se da um jeito !!!,2,-4,negativo
"Em contra partida flexibilização de porte de arma vai indo , só Deus pra resguardar !
Será que ninguém parou pra pensar que foi-se o tempo que as crianças não tinham tanta facilidade em tudo ! 
Vivemos numa era muito permissiva onde alguns se admiram da esperteza e curiosidade de crianças e jovens , onde coisa de adulto e coisa de criança se confundem e se fundem !",2,-2,neutro
"Eu acho q primeiro q tudo tem q pesquisar a familia desses atiradores..
Quem são os pais ? Como era a vida familiar desses jovens ?
Sim pq tudo começa dentro de casa.....",1,-1,neutro
"Triste o coração mais uma vez sangra nesse início de ano, tempos difíceis que nada mais são do que reflexo de anos e anos de negligência estatal para com seu povo seja na segurança ou educação.",2,-3,negativo
"Os moleques estavam bem equipado, como eles conseguiram esses equipamentos? Estranho",2,-2,neutro
"É triste, muito triste! 

Uma chacina ceifando vidas e pessoas vindo em comentários defender porte legal de armas.
Pessoas que dizem ter Deus no coração!
Eu acho que o Deus de vocês devem ter é vergonha de levar o nome tão em vão assim.

Força para as famílias, que consigam força pra passar por uma tragédia dessas! Aos sobreviventes, que consigam seguir sem sequelas psicológicas ou físicas.",3,-4,negativo
"Hj em dia o mundo tá violento, assim c nos outros países o mesmo atentado chega ao nosso, creio q seja devido a bullying e incentivo d jogos violentos realistas virtuais d tiro, isso se dá devido à falta d carinho dos pais c seus filhos!!!",2,-3,negativo
"Jesus cristo não tenho psicológico pra assistir isso, sou mãe e tô arrasada lendo isso",1,-1,neutro
"Que mundo é esse que estamos vivendo😔, que tragédia horrível..estou sentindo na alma a dor desses pais que perderam seus filhos!! Sem estrutura psicólogica para tudo isso😓",1,-4,negativo
"Até um tempo atrás esse tipo de notícia sempre era fora do Brasil. Hoje toda essa maldade/crueldade está no mundo todo. Não temos mais para onde fugir. Como se proteger.
Senhor até quando vamos viver toda essa maldade humana?😔",2,-3,negativo
"• Luto por Suzano 
• Luto por Brumadinho 
• Luto pelas enchentes do Rio 
• Luto pelas enchentes de SP 
• Luto pelo ninho do urubu 
• Luto pela violência a mulheres 
• LUTO PELO BRASIL 😪😪😪😭",1,-4,negativo
Nãooo ... Penso que um dia vou acordar e ver apenas noticias boas .. Mas quando vejo é uma pior que a outra ainda mais envolvendo criança meu Deus ... A gente que tem filho ficamos desesperados pela tamanha violência 😥😭,2,-4,negativo
