Comentário,notaPositiva,notaNegativa,Sentimento
"O estatuto do desarmamento não impediu esse crime, mas impediu os seguranças da escola de defende-las.",2,-2,neutro
Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3,-4,negativo
Resultado da campanha violenta! Onde armas resolve o problema!Muitos usaram suas páginas postando armas com os dedos!,3,-3,neutro
"Antes de a extrema imprensa começar a usar esse caso para fazer campanha contra a posse legal de armas, gostaria de fazer uma pergunta. As armas usadas por esses atiradores eram legalizadas ou foram adquiridas no mercado clandestino?",3,-2,positivo
"Numa escola? Cheia de livros? Isso aconteceu porque ninguém deu um livro a ele. Certeza! O ""adolescente "" coitado, só queria livros e rosas.",3,-2,positivo
"Alguém acha que mesmo com porte legal, alguém que quer matar vai respeitar o fato de não ter posse, somente porte? Vocês acham que as armas legalizadas jamais serão contrabandeadas, roubadas, fraudadas? Arma não foi feita pra nada a não ser para MATAR.",2,-2,neutro
"Em escola militarizada ninguém entra atirando, o porteiro já mata o cara ali mesmo...",1,-2,negativo
Mais uma fatalidade feita por pessoas loucas que por algum motivo conseguiram ter o acesso a arma de fogo. Deus conforte o coração da família das vítimas.,1,-3,negativo
"Procurem saber se as armas que os dois ""meninos"" portavam estão devidamente registradas.",1,-2,negativo
E Bolsonaro continua brincando de democracia .Não votei nele para isso.,1,-1,neutro
"Pra quem tá falando bobagem sobre armas, não tem mais volta, elas não vão simplesmente sumir. Nós temos q aprender a lidar com elas, estatuto do desarmamento não serviu pra nada. Temos que parar de por a culpa dos crimes em objetos, são as pessoas, pessoas matam!",1,-3,negativo
"Se o plano é se matar depois, pq não se matam antes?? Acabem com suas vidas e deixem os outros em paz",1,-2,negativo
"Todas as escolas precisam de seguranças armados e os professores têm que ter autorização pra portar arma também. Um homem armado invade a escola e a única opção é ligar pra polícia, que só passa pra recolher os corpos.",2,-2,neutro
"Aquele caso que ocorreu no Rio de janeiro não serviu como exemplo para se evitar novas tragédias como ocorreu hoje em que morreram 6 inocentes, todas as escolas deveriam ter seguranças armados com detector de metais mas os governos parecem adormecidos infelizmente",2,-3,negativo
"Falam de homens encapuzados, aqui fala de adolescentes. Vai entender qual é a parte verídica da história. Ninguém sabe nem o número de mortos ainda, mas o jornalista já sabe q os atiradores são adolescentes.",1,-4,negativo
Falta de limites aliada a falta de Deus no coração infelizmente tende a dar nisso,1,-3,negativo
As escolas públicas estão abandonadas à própria sorte. A precarização do ensino é o menor dos problemas!!!,2,-2,neutro
"Será que isso pode ter a ver com esse jogo que as crianças estão loucamente jogando no celular, to com medo...Parem o mundo e que Deus tenha misericórdia de nós e livrai nos do mal amém! Triste de Mais! 😥😭😢",2,-3,negativo
"É o começo de uma nova era. Meninos e meninas vestem vermelho-sangue, graças à cultura da violência propagada pelo fascismo em forma de milícia no Governo Federal.",2,-4,negativo
"Vejo alguns comentários e penso:
Quanta falta de empatia! 
Estamos falando de pessoas inocentes que perderam suas vidas, famílias choram a pior das dores neste momento,e as pessoas sem informação nenhuma atribuindo ao governo atual! 
As Escolas públicas estão à deriva,abandonadas à própria sorte ! Obviamente,os atiradores adolescentes não portavam armas legalizadas! Esta foi mais uma fatalidade cometida por pessoas loucas! Ponto final!",2,-5,negativo
"Coincidências, o assassino de Marielle é sargento da PM mora em mansão dirige carro importado blindado tem 117 fuzis em casa, é vizinho e muito amigo de Bolsonaro suspeito de ser miliciano , apenas coincidências .",1,-2,negativo
A até que ponto o mundo está chegando nossos filhos estão querendo vencer na vida estudar p ter melhor iria na vida e muito difícil deus fortalece os familiares dessas crianças AMÉM,3,-2,positivo
"Se o porteiro estivesse armado, teria o neutralizado no início😢😢😢",1,-2,negativo
Ja é o reflexo de um presidente que só faz arminha .as crianças esta achando normal e praticando.na via da real .muito triste .meu Deus a onde vamos parar??.,1,-3,negativo
"Em 2011 na tragédia de Realengo no rio de janeiro não tinha posse de armas, Ter posse ou não, não faz diferença. O que faz a diferença é o caráter das pessoas",1,-3,negativo
"Imagina com a posse de arma liberada. O povo acredita mesmo que jovens com problemas no meio social não vão tentar pegar a arma dos pais escondida para solucionar suas crises existências ou opressões sofridas se vingando em inocentes???

Basta olhar nos estados unidos onde esses casos ocorrem aos montes e a flexibilidade para se ter uma arma já é realidade...",2,-4,negativo
"Flávio Bolsonaro em 2007...............................................................................................https://www.terra.com.br/noticias/brasil/politica/deputado-quer-legalizar-milicias-no-rio,f2fe24d51491139f856ce9e94d4a88bc1m7unakr.html?fbclid=IwAR2yBlAXkG1FVaFvegxnMK5seXbjRpdhNgXVF_Fn9e3Wjf3_40dh0iU4TOg",1,-1,neutro
Em um lugar cheio de livros e ninguém deu um para os atiradores!,2,-2,neutro
Se ainda não têm a notícia para que fazer alarme? Depois dizem que é um jornal sério e respeitável,3,-3,neutro
As escolas públicas é verdadeiro inferno ...As crianças e adolescentes sofrem demais,2,-4,negativo
"Ela carrega no peito: 
Mulheres de Atitude 💕👏👐🙌
Essa é a Silmara, merendeira que ajudou a salvar e abrigar cerca de 50 crianças na cozinha da escola Raul Brasil, fazendo barricadas pra defende-las dos atiradores.
Parabéns por representar as milhares de mães que, certamente no seu lugar faria o mesmo. Estamos orgulhosas, em saber que em meio a tanta dor, você, e suas colegas com heroísmo pode diminuir o tamanho do estrago no massacre. O Brasil chora, mas consegue ser grato pela sua atitude!

Deus te abençoe Silmara.

#PrayForSuzano #LutoRaulBrasil #RaulBrasil #Suzano #Luto",2,-4,negativo
"Uns colocam a culpa no Bolsonaro outros colocam a culpa no free fire..
Não sei como essas pessoas foram classificadas como seres racionais pela seleção natural.",1,-2,negativo
"Já tinha acontecido em uma escola aqui do Rio, as escolas já tinham que ter tomado medidas de segurança revistando a mochila das crianças, funcionários ou qualquer pessoa que quiser entrar na escola, muito triste isso 😢",2,-3,negativo
