Comentário,notaPositiva,notaNegativa,Sentimento
"Receba nossas newsletters e fique bem informado todo dia, o dia todo: https://www.gazetadopovo.com.br/newsletter/?utm_campaign=gazeta-do-povo&utm_medium=midia-social&utm_source=facebook",2,-1,positivo
Muito triste 😢😢😢😢😢,1,-3,negativo
Mariana Trajano,1,-1,neutro
Horrível o video gente e desesperador,1,-3,negativo
"Grande parte disso é culpa da mídia que ficam repercutindo esse tipo de ação que só acontecia nos Estados unidos. A mídia vive desse tipo de notícia, sem se preocupar em combatê-las. A única coisa que importa é quem chegou primeiro para mostrar a tragédia. É sempre assim ""exclusivo"", ""fomos os primeiros"", ""tivemos acesso"" e por aí afora.",3,-4,negativo
Jhon Ferreira,1,-2,negativo
Aninha Mazuquelli,1,-1,neutro
"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",2,-3,negativo
pcc,1,-1,neutro
Fátima Alvarez,1,-1,neutro
Que país é esse?,1,-1,neutro
A maior prova que o perigo não é o cidadão de bem armado e sim a facilidade que alguém mau intencionado consegue uma arma em qualquer biqueira,2,-2,neutro
Bolsominions vão sugerir armar professor com fuzil. Pelo menos agora podem ir no condoMinion comprar.,1,-3,negativo
"Atirador? Igual aqueles que praticam o esporte de tiro? Posso associar, então, esses meliantes com os praticantes de esportes, como sendo os mesmos?",1,-2,negativo
E opresso que tão pagando por incentivar matança fora bostanaros,1,-1,neutro
atirar em criança e fácil tem que fazer o mesmo com estes covardes aço neles,1,-2,negativo
"Lendo certos comentários a respeito da liberação das armas, pergunto:
Se uma dessas crianças fuziladas e mortas fosse filho de alguém de vcs, o que fariam? Receberiam os assassinos com flores?😠😠",3,-4,negativo
"Inaceitável, lamentável !!!!!!!
Que.o Senhor abençoe os famíliares dos dois lados e que esses assassinos tenham o que merecem e sejam julgados pela justiça do Senhor, que não falha jamais",2,-3,negativo
tava demorando. começou a doença dos americanos. que tragédia aonde vamos parar,1,-3,negativo
Enquanto o exército nao tomar conta do país vai ser assim e cada vez pior ! Nao adianta alterar leis a bandidagem vai ser cada vez mais enquanto nao tiver educação pública !,2,-3,negativo
“Dois assassinos semente do mal” ...,1,-3,negativo
Armas nas mão de cidadão de bem só serve para fazer merda como essa.,2,-2,neutro
"👉👉 E nenhum professor tinha um liquidificador para evitar a tragédia ? 

👉👉 É só fazer arminha com as mãos, talkey ?",1,-3,negativo
Ricardo Abraham,1,-1,neutro
PRESIDENTE BOLSONARO ESTÁ MAIS DO QUE CORRETO QUANDO QUER COLOCAR MILITARES NOS COLÉGIOS PÚBLICOS.,1,-1,neutro
Mirian Bittencourt😭,1,-1,neutro
"Atirador????Cade o cr deles???Pelo jeito era bandido e não atirador, pois atirador é licenciado.",1,-2,negativo
Olha tem que ter policiamento na porta na entrada meu Deus que triste ver crianças perdendo a vida assim,1,-3,negativo
Brasileiro imitando americano até nas merdas....,1,-2,negativo
Vamos ver se irão investigar isso igual ao caso mariely,1,-1,neutro
😭 Mds onde vamos parar com tanta violência,1,-4,negativo
Nossa....o que esta acontecendo este ano? Uma tragédia atrás da outra. Só Deus mesmo,1,-3,negativo
Pelo amor de Deus...chega de misturar política com tragédia e ficar tentando ferir esquerda ou direita com a língua...a hora e de solidariedade e oração pelas vítimas e familiares.,3,-3,neutro
"Achei estranho a galera da resistência não ir lá para os meliantes com flores, livros, pombo da paz e manifestações; se não aparecesse alguém armado, esses 2 não teriam parado, e ainda tem esquerdista querendo o fim da polícia e outros mais ignorantes querendo que não tenham arma de fogo durante expediente de trabalho.

Se repetindo aquela vez em que entrou um armado com 2 38 numa escola, isso a esquerda não fala, pois foi no governo deles.
Parabéns a PM e meus pêsames aos familiares das crianças e diretora",3,-3,neutro
Lindiomar Salviano Paula Santos,1,-1,neutro
Andréa Brasil,1,-1,neutro
"Tragédias como essa nos chocam, pois as escolas deveriam ser locais tão seguros para as crianças quanto os seus próprios lares. Não sabemos ainda a motivação do ataque, só sabemos que ninguém merecia isso. 

Quando paramos para fazer um paralelo sobre as diversas motivações que levam jovens a cometer tais atos, há muito sobre o que conversar. Uma pesquisa realizada pelo psiquiatra norte americano Timothy Brewerton apontou que dos 66 ataques em escolas que ocorreram no período de 1966 a 2011, 87% dos atiradores sofriam bullying e foram motivados por desejo de vingança. 

A educação de nosso país está doente em vários aspectos. Precisamos discutir!",2,-4,negativo
"Triste ,o mundo precisa de oração",1,-3,negativo
"Se esta notícia fosse no jornal nacional,com certeza eles já teriam achado uma forma de ligar o crime a Bolsonaro.",1,-2,negativo
É q ao invés de colocarem os guardas municipais para proteger as escolas preferem deixá-los nas ruas para ficarem multando os carros e assim arrecadarem mais grana para o DETRAN.😠😓,3,-2,positivo
"""Morreram pelo menos cinco crianças mortas e a diretora da escola. "" ""Os atiradores, que seriam adolescentes, também estão mortos.""",1,-4,negativo
MiseRicOCorDia Deus!,1,-1,neutro
Se houvessem seguranças armados não teria acontecido a tragédia.,2,-3,negativo
Jesus misericordia de nós,1,-1,neutro
"e não foi com um liquidificador.
esse é o Brasil que vcs escolheram nas urnas",1,-1,neutro
