created_time,message,id,object_link.connections.comments.message
2019-03-13T13:36:20+0000,Vivih Gomez,2677277255620083_2677301882284287,"Eliane Britto jesus já pode voltar,nem sei o que dizer,nem o que pensar."
2019-03-14T00:13:56+0000,,2677277255620083_2677742955573513,null
2019-03-14T11:10:53+0000,"Loucura!! Os jovens estão envenenados, doentes!!!",2677277255620083_2678344658846676,null
2019-03-13T13:23:23+0000,Vão dizer o que foi a polícia ou que foi Bolsonaro. Ninguem leva a situações a sério e o resultado é isto...deixamos de discutir e cobrar situações sensíveis.,2677277255620083_2677284878952654,Alex A. Da Gloria sempre tem um idiota pra falar essa merda infelizmente
2019-03-13T13:23:23+0000,Vão dizer o que foi a polícia ou que foi Bolsonaro. Ninguem leva a situações a sério e o resultado é isto...deixamos de discutir e cobrar situações sensíveis.,2677277255620083_2677284878952654,E a esquerda maldita vai dizer que foram as armas
2019-03-13T13:23:23+0000,Vão dizer o que foi a polícia ou que foi Bolsonaro. Ninguem leva a situações a sério e o resultado é isto...deixamos de discutir e cobrar situações sensíveis.,2677277255620083_2677284878952654,"Realmente a arma foi uma mera coadjuvante, porém a tendência é piorar com tantas armas que parar nas mãos da população....vai vendo"
2019-03-13T13:28:37+0000,"Só vendo este povo besta pedindo pra que deus tenha misericordia.
Se ele se importasse,teria impedido essa desgraça acontecer.",2677277255620083_2677290705618738,Deus ja foi embora dessa terra imunda
2019-03-13T13:36:25+0000,Dpis adolescentes entraram atirando,2677277255620083_2677302008950941,null
2019-03-13T13:23:31+0000,Meu Deus!,2677277255620083_2677285035619305,null
2019-03-13T13:22:41+0000,"Meu Deus q o Senhor Jesus tenha misericódia de Nós, pq cada Dia o Ser Humano fica incontrolavel .... Lamentavel 😔😔",2677277255620083_2677284038952738,null
2019-03-13T13:25:05+0000,Meu Deus! Misericórdia Senhor Jesus Cristo!,2677277255620083_2677286628952479,null
2019-03-13T13:18:43+0000,Meu Deua! Que triste notícia,2677277255620083_2677279352286540,null
2019-03-13T13:19:53+0000,misericordia senhor,2677277255620083_2677280918953050,null
2019-03-13T13:22:08+0000,meu Deus o que está acontecendo com ser humano Jesus eu não sei mais o que pensar o que será daqui para frente só Jesus,2677277255620083_2677283202286155,null
2019-03-13T13:21:10+0000,Deus tenha misericórdia das nossas crianças 😭,2677277255620083_2677282172286258,Amém!
2019-03-13T13:51:28+0000,Senhor misericordia,2677277255620083_2677319195615889,null
2019-03-13T13:20:20+0000,O sangue de jessus tem.poder!,2677277255620083_2677281252286350,null
2019-03-13T13:21:01+0000,"É isso que dá armas livres, sem restrições. Infelizmente casos como esse poderão se tornar comum graças a irresponsabilidade de adultos.",2677277255620083_2677281985619610,Idiota
2019-03-13T13:29:28+0000,"Misericórdia senhor, 2019 tá muito carregado",2677277255620083_2677291472285328,"Luciene Da Paixão De Ataíde Ataíde infelizmente não e 2019 são as pessoas,vai entrar 2020,2021,se as pessoas não mudarem,tudo continuará na mesma, precisamos ter amor ao próximo, compaixão, chamar por Deus e muita oração.🙏"
2019-03-13T13:35:15+0000,É a nova era.,2677277255620083_2677300518951090,null
2019-03-13T14:31:05+0000,misericórdia senhor,2677277255620083_2677363962278079,null
2019-03-13T13:21:31+0000,misericórdia,2677277255620083_2677282542286221,null
2019-03-13T13:45:12+0000,meu Deus,2677277255620083_2677312448949897,null
2019-03-13T13:29:05+0000,"As pessoas podem ter seus DIPLOMAS das melhores universidades do mundo e estarem devidamente grauduados e grauados e com experiencia para ocupar cargos altos e bem remunerados, entretando; se existe CORRUPCAO : ETICA, MORAL, DA RESPONSABILIDADE, DO COMPROMISSO, DA COMPETENCIA , DA PUNICAO ADEQUADA, DA FISCALIZACAO ADEQUADA DE #PESSOAS (NOS SEORES PUBLICOS E PRIVADOS) E O COMPROMISSO COM A #VERDADE, A MATEMATICA, A FISICA, A QUIMICA A ADMINSITRACAO, O GERENCIAMENTO NAO SE SUSTENTA. TUDO LITERALMENTE VIRA UM CAOS...E O CAOS FACILITA PARA OS OPORTUNISTAS, O QUE FAREMOS COM ESSAS INFORMACOES?",2677277255620083_2677291142285361,null
2019-03-13T13:31:29+0000,Meu Deus .,2677277255620083_2677294132285062,null
2019-03-13T13:24:19+0000,Triste!! Muito triste!!,2677277255620083_2677285905619218,null
2019-03-13T13:54:00+0000,Tem misericórdia meu Deus 🙏 que o senhor dar forças toda família dessa outras tragédias!!!,2677277255620083_2677321812282294,null
2019-03-13T13:37:41+0000,😮meu deus muito triste 😢,2677277255620083_2677303615617447,null
2019-03-13T13:50:57+0000,"Deus tenha misericórdia ,vidas inocentes sendo ceifadas 😥😥😥",2677277255620083_2677318642282611,null
2019-03-13T13:45:35+0000,Continuem fazendo BULLYING... que vai ter mais,2677277255620083_2677312882283187,null
2019-03-13T13:23:54+0000,Armar a população!!,2677277255620083_2677285418952600,null
