created_time,message,id,object_link.connections.comments.message
2019-03-14T15:37:25+0000,Roseli Da Silva Dutra Sander,2211378565818781_2212122689077702,null
2019-03-14T02:15:35+0000,Fabiano LimaKaroline Lima,2211378565818781_2211715572451747,null
2019-03-13T14:35:11+0000,Q tristeza meu senhor 😔😔😔 conforta o coração desses pais,2211378565818781_2211380142485290,null
2019-03-14T01:13:46+0000,Fernanda Sampaio,2211378565818781_2211665045790133,null
2019-03-16T16:53:04+0000,Agora o governo ofereseu 100000 mil reais pra abafar o caso,2211378565818781_2213604182262886,null
2019-03-13T14:44:32+0000,"E tem quem #NÃO quer os PMs dentro das escolas!! Em Brasília, principalmente!! Vão mudar o conceito agora!!
🙌Meus pêsames as famílias!🙌",2211378565818781_2211386299151341,null
2019-03-13T14:47:49+0000,Sem palavras estamos vivendo num Brasil q da medo de tudo nossos filhos não estão seguro em lugar nem um mais . só por Deus msm .,2211378565818781_2211388435817794,null
2019-03-14T21:29:09+0000,\00,2211378565818781_2212301142393190,null
2019-03-13T14:57:19+0000,Misericórdia senhor é o fim dos tempos 😭😭,2211378565818781_2211393909150580,null
2019-03-13T14:45:17+0000,Misericórdia senhor,2211378565818781_2211386985817939,null
2019-03-13T14:45:43+0000,Valei me Cristo 😭😭😭😭,2211378565818781_2211387315817906,null
2019-03-13T14:41:27+0000,Só o que faltava agora o Brasil virou os EUA 😥,2211378565818781_2211383775818260,null
2019-03-13T14:50:24+0000,Que todos os pais sejam confortados diante dessa tragédia 😪😪😪,2211378565818781_2211390102484294,null
2019-03-14T01:57:11+0000,,2211378565818781_2211699065786731,null
2019-03-13T14:41:40+0000,Bem-vindo ou goberno de bolsonaro.,2211378565818781_2211383919151579,Antoni Rey March claro pq é essa a primeira vez que acontece no Brasil ne.
2019-03-13T14:41:40+0000,Bem-vindo ou goberno de bolsonaro.,2211378565818781_2211383919151579,Mais capim na mesa 13
2019-03-13T14:41:40+0000,Bem-vindo ou goberno de bolsonaro.,2211378565818781_2211383919151579,Antoni Rey March nunca ocorreu né?
2019-03-13T14:41:40+0000,Bem-vindo ou goberno de bolsonaro.,2211378565818781_2211383919151579,Oque tem a ver Bolsonaro com essa tragédia??? Mais uma ne pq a uns anos atrás já avia ocorrido esse fato também
2019-03-13T14:41:40+0000,Bem-vindo ou goberno de bolsonaro.,2211378565818781_2211383919151579,"O que isso tem a ver com Bolsonaro? Pare de usar de tragédias para rivalidade política. Desde quando isso acontece no Brasil? Desde sempre. Um governo de 3 meses? Como isso influencia ou implica em questões como esta? 
Antes política era um assunto fundamental a se tratar, hoje política se tornou fanatismo.
 As pessoa precisam de mais amor, precisam de Deus. Esse é o problema dessa nossa juventude de hoje, falta de Deus!"
2019-03-13T23:14:34+0000,Misericórdia 😢,2211378565818781_2211565292466775,null
2019-03-13T18:45:18+0000,Bruna Caroline,2211378565818781_2211442919145679,null
2019-03-13T14:39:26+0000,13/2??,2211378565818781_2211382402485064,null
2019-03-13T14:56:50+0000,A ignorância é uma força que nunca falha,2211378565818781_2211393599150611,null
2019-03-13T15:02:56+0000,"Bolsonaro libera porte de arma, isso é só o início... adolescente não pode comprar armas mas seus pais pode... que Deus conforte essas famílias😢",2211378565818781_2211397065816931,"Alyson Castro nem foi liberado ainda,o cara há pouco tempo varreu fogo vitimando várias crianças em uma escola."
2019-03-13T15:02:56+0000,"Bolsonaro libera porte de arma, isso é só o início... adolescente não pode comprar armas mas seus pais pode... que Deus conforte essas famílias😢",2211378565818781_2211397065816931,"Alyson Castro larga de ser hipócrita cara, vc acha que essas armas foram compradas dentro da lei, isso é essa política de desigualdade que se implantou no Brasil, pregam a divisão de classes, tudo é vitimismo, isso sim"
2019-03-13T15:02:56+0000,"Bolsonaro libera porte de arma, isso é só o início... adolescente não pode comprar armas mas seus pais pode... que Deus conforte essas famílias😢",2211378565818781_2211397065816931,nem liberou ainda e qnd liberar
2019-03-13T15:02:56+0000,"Bolsonaro libera porte de arma, isso é só o início... adolescente não pode comprar armas mas seus pais pode... que Deus conforte essas famílias😢",2211378565818781_2211397065816931,"Alyson Castro não é só armas que mata,o cara varreu fogo na escola vitimando várias pessoas,e outra independente da liberação ou não as pessoas tem acesso fácil a armas..."
2019-03-13T15:02:56+0000,"Bolsonaro libera porte de arma, isso é só o início... adolescente não pode comprar armas mas seus pais pode... que Deus conforte essas famílias😢",2211378565818781_2211397065816931,"Visando que ainda não está liberado o porte de arma . A sua afirmação não coincide com a realidade. Infelizmente a compra ilícita de armas pode ser realizada, e para isso basta ter dinheiro. 
Primeiro Sr, isso já acontece a anos, não somente aqui no Brasil, como em diversos países. 
Usar de uma tragédia para fanatismo político, não é nem um pouco bonito. Vamos manter o respeito !"
2019-03-13T15:02:56+0000,"Bolsonaro libera porte de arma, isso é só o início... adolescente não pode comprar armas mas seus pais pode... que Deus conforte essas famílias😢",2211378565818781_2211397065816931,Meus pêsames as famílias dos envolvidos.
2019-03-13T15:06:13+0000,"Se tivessem pessoas de bem armadas no local, provavelmente teriam parado os marginais e a tragédia seria menor.",2211378565818781_2211398592483445,null
2019-03-13T14:37:19+0000,"Brasileiro quis tanto ser igual os americanos...logo aqui que só absorvem o pior no quesito ""copiar""",2211378565818781_2211381272485177,null
