created_time,message,id,object_link.connections.comments.message
2019-03-19T12:57:27+0000,"Não são as escola culpadas, são ás criações de filhos desamparados pela família!",2304045092963513_2304071152960907,null
2019-03-19T14:05:46+0000,"》》Crianças sendo ""educadas"" pelas #ApresentadorasVadias... 💩💰💩💰💩💰 da #TVBrasileira",2304045092963513_2304154516285904,null
2019-03-20T10:22:37+0000,Sim acho que a escola tem que ter estrutura o meu filho estuda uma que e do governo e tem e me ajudou muito com meu filho num momento que precisei mas educação vem de casa a escola esta auxiliando né complicado,2304045092963513_2305319809502708,null
2019-03-19T13:00:39+0000,Falta psicólogos r assistente social nas escolas.,2304045092963513_2304076142960408,null
2019-03-19T13:46:26+0000,"Ficarmos atentos com nossos filhos , ontem mesmo em minha cidade que fica em Pontalina foi evitado uma tragédia como a de Suzano, graças a coordenadora da escola e a Polícia Civil agiram rápido e prenderam o aluno .",2304045092963513_2304132752954747,null
2019-03-19T12:58:33+0000,"Cadê a guarda municipal pra defender o patrimônio municipal , hoje vemos que a guarda quis vira outra polícia ao invés de ficar nas escolas cais etc.",2304045092963513_2304072736294082,null
2019-03-20T10:19:25+0000,Nossa quanta besteira para ne tanta coisa pra se preocupar e ainda fica falando de presidente afff,2304045092963513_2305317012836321,null
2019-03-19T12:59:12+0000,"Isto mesmo 
A guarda municipal deveria tomar conta das escolas",2304045092963513_2304073682960654,null
2019-03-19T12:59:59+0000,Falta,2304045092963513_2304074979627191,null
2019-03-19T15:03:51+0000,"Bullying e falta de segurança seriam os principais motivos, claro que não o erro está dentro dos próprios lares, pais omissos, irresponsáveis",2304045092963513_2304227069611982,null
2019-03-19T13:15:25+0000,"Do nada surge um maluco BOLSONARO e grita:
'A SOLUÇÃO PARA VIOLÊNCIA É FACILITAR O ACESSO ÀS ARMAS PARA A POPULAÇÃO""
Depois faz sinal de ARMINHA e braveja:
""VAMOS METRALHAR TODO MUNDO""
Eleito Presidente dos LARANJAS em nome de DEUS!",2304045092963513_2304095679625121,"Francisco Martins jumento petista a eleição acabou, tudo democraticamente, não vai haver terceiro turno hahahaha, o lularápio está preso seu babaca."
2019-03-19T13:15:25+0000,"Do nada surge um maluco BOLSONARO e grita:
'A SOLUÇÃO PARA VIOLÊNCIA É FACILITAR O ACESSO ÀS ARMAS PARA A POPULAÇÃO""
Depois faz sinal de ARMINHA e braveja:
""VAMOS METRALHAR TODO MUNDO""
Eleito Presidente dos LARANJAS em nome de DEUS!",2304045092963513_2304095679625121,Francisco Martins
