Comentário,notaPositiva,notaNegativa,Sentimento
Dá nojo ver esses deputados vendidos comemorando a desgraça de milhões de brasileiros.,1,-2,negativo
Tão terminando de matar os mais pobres e longa vida aos privilegiados😰,1,-2,negativo
Lamentável,1,-3,negativo
Toma pobre vota no Bolsonaro 👉👌,1,-2,negativo
Show,1,-1,neutro
510 bandidos contra os trabalhadores a se caise um meteoro b em no meio desses vagabundos 😡😡😡😡😠😠😠😠😠😠,1,-2,negativo
Pilantras!!!,1,-1,neutro
Safados!!!,1,-1,neutro
Preparem o Fio o Fo pq vem muito chumbo aí p os brasileiros.,1,-1,neutro
São todos mercenários!!!Eles têm aposentadoria especial e não abrem mão disso.,2,-1,positivo
Champanhes estourando nas coberturas 🍾🥂,1,-1,neutro
"Nenhum deles vão ser reeleito quando o povo perceber a realidade, espero que eles tenha enchido o bolso com a nova política de compra de deputados",2,-3,negativo
Votos comprados! Assim é fácil,1,-1,neutro
"Até semana passada não tinham votos, aí derrepente aparece votos sobrando. Muito dinheiro envolvido tirado do nosso bolso..misericórdia",1,-2,negativo
Tudo safados mercenarios lixos,1,-2,negativo
Triste..Sinto vergonha,1,-3,negativo
"Parabéns seus otários, prenderam o Lula pra ferrar os trabalhos da iniciativa privada... E manter os privilégios dos bacanas kkkkk valeu seus bolsominos... Ferrou os pobres para manter a vida de glamour dos ricos. Queria dá uma dedada em cada bolsominos do Brasil.",3,-2,positivo
A canhota chora,1,-4,negativo
"Muitos falavam!! Antes das eleições se Bolsonaro fosse eleito não ia poder governar, porque não ia ter maioria no congresso. Pois tá aí! A reforma da previdência acaba de ser aprovada com 379 votos a favor. E o baile continua.",3,-3,neutro
Aff o PT ROUBOU TUDO E QUEBROU....,1,-2,negativo
O fim da aposentadoria dos pobres,1,-2,negativo
"Sentindo na pele a ""democracia"" da esquerda! CIROCRACIA 😎https://www1.folha.uol.com.br/poder/2019/07/pdt-ameaca-expulsar-tabata-amaral-e-outros-deputados-que-votarem-pro-reforma-da-previdencia.shtml",1,-1,neutro
Parabéns aos envolvidos. Que a naba entre doendo mais no rabo de vocês.,1,-1,neutro
Qual cidade  que vai ser benificiada com essas vebas...mais de 1 Bilhão  pra destinar em qz 5.700 municipios.se fosse o Lula seria o.mesmo procedimento...troca verbas pra aprovar varios  projetos..,1,-1,neutro
"""Governo comprou 379 votos"".",1,-1,neutro
"Claro , com dinheiro no bolso dado por Bozo, aprovaria até a mãe",1,-2,negativo
Que Deus venha a ter misericórdia de todos,1,-1,neutro
Tomamos no c*,1,-1,neutro
Aguardando tudo isso fazer efeito fora do papel.,1,-1,neutro
Um bando de vendidos. Só lamento.,1,-3,negativo
Parabéns aos  131 Deputados derrotados  na câmara federal. Vão colecionar derrotas pois são  minoria  excluídos pela população brasileira. ....que  foi  as manifestações  pedir a provação  da previdência  e foi  atendida pela maioria  379 Deputados federais  atendeu o pelo das Ruas. Parabéns a todos Brasileiros e em especial  nesse momento  a Rodrigo Maia. ......,3,-3,neutro
Se não for a assim nao repassa verbas pro municipios. asfaltar  os bairros terminar creches escolas hospitals .os prejudicado  sao as Classes Medias BaixasCMB.,1,-3,negativo
Um povo brasileiro tem os políticos que merece,1,-1,neutro
CLARO KKKLKK DEPOIS QUE ENXERAM A POUPANÇA KKKKK É ÓVIO QUE VAI SER APROVADA!!!!!!,2,-2,neutro
"Chupa essa petistas, psol,ref e outros babacas",1,-3,negativo
Tbm com o mensalão do bozo né,1,-1,neutro
"Foi aprovado na base do toma lá dá cá. Dinheiro aos montes liberados para que os deputados possam realizar as obras em seus redutos que custariam 10 mas que custarão 1000.Não mudou nada e pelo contrário, piorou muito",1,-2,negativo
"Interessante, final com 171 votos dos esquerdopatas, que coincidência, não é a toa que o ditado é certo: Uma vez vagabundo, sempre vagabundo, 171 mesmo.",1,-2,negativo
Parabéns aos pobres que ajudaram a cavar suas próprias covas,1,-2,negativo
Nosso dinheiro compra tudo,1,-1,neutro
"Falam a o PT quebrou o Brasil, mas então de onde tiraram esses milhões pra comprar os votos?",1,-3,negativo
Essa reforma é Boa porque os militares tem previlegios mentirosos,2,-3,negativo
"Quem conseguiu ñ foi o governo e sim o Brasil, os inimigos do Brasil saíram com o rabo entre as pernas.",1,-3,negativo
"Onix  disse que o placar  foi além do esperado,  que  em fevereiro  ninguém  acreditava , mas que  venceram pela fé,  eu diria  venceram   porque tinham a chave do cofre. Eu gostaria que  tivesse sido  votação por convicção  do que realmente fosse melhor  para todos.",3,-1,positivo
Tbem todos comprados...assim é fácil ferrar com todos os trabalhadores.,1,-2,negativo
"Uai oposição disse que os governistas não tinham os votos , como sempre eles metem, continuam a mentir,  mas que bom , o Brasil, precisa avançar,  #MUDABRASIL",2,-3,negativo
"Vc que trabalha pela CLT, parabéns!! Vai poder pagar uma alíquota mais cara, contribuir por mais tempo e se conseguir se aposentar, receber menos, muito abaixo do teto! Brilhante 👍🏻👍🏻",2,-2,neutro
#GrandeDia 🇧🇷🇧🇷🇧🇷,1,-1,neutro
"Parabéns a Dep. TABATA , e de jovens assim que o País precisa  !",1,-2,negativo
So pilantra queria está reforma,3,-1,positivo
"Mais hipócrita são os que pegaram o dinheiro sabendo que ia ferrar com os trabalhadores e  aposentados assalariados, miseráveis, desumanos, mais pra todos têm a lei do retorno , vcs vão colher o que vcs plantaram, todos têm  a sua colheita vcs teram sim com juros altíssimo .",1,-3,negativo
Parabéns aos envolvidos! Fez sinal de arminha apontada para a cabecinha desmiolada... Custou a sua aposentadoria pode comemorar a nossa desgraça!,1,-2,negativo
Isso é só o começo das dores tem mas supresa vindo aí só Deus pelo nosso país,3,-4,negativo
Bolsonaro melhor presidente da história do Brasil,2,-1,positivo
na procima eleiçao o bolsonaro nao ganha nem pra limpar o banheiro do palacio,1,-1,neutro
Bolsonaro abriu o cofre né,1,-1,neutro
"O povo tem que aprender a votar, tem que se ligar nas votações...Um dia vão saber a força que tem.",3,-3,neutro
Ninho dos capetas,1,-2,negativo
Bando de safados,1,-2,negativo
Esses caras estão determinados a transformar a bandeira do Brasil em  um objeto repulsivo. Estão sempre com ela nas mãos quando estão fazendo o mal.,1,-3,negativo
"Com o volume de emendas liberadas, acho estranho que não tenha havido unanimidade.",1,-2,negativo
Eu fudido junto mas achando é pouco!,1,-1,neutro
"Ferrou o pobre. Não participei disso, e os idiotas foram para as ruas pedir a reforma da previdência.",1,-2,negativo
"Domingo vão pra rua comemorar, bando de babacas...",1,-3,negativo
"Co dinheiro no bolso eu votava o que eles quisessem votar, governo canalha nada diferente do anterior, comprando votos se ganha qualquer votação",1,-2,negativo
Trabalhador que vota em Bolsonaro tem que trabalhar até os 100 anos,1,-1,neutro
Vota 17 agora bando de otários,1,-2,negativo
Vejam a alegria dos corruptos comemorando a desgraça do povo trabalhador e aposentados deste país. Morte lenta para os inimigos do povo trabalhador para que posam vê com os próprios olhos o sofrimento do povo brasileiro,3,-4,negativo
Esse mito não gosta de pobre.,3,-2,positivo
Os 131 deputados que votaram contra o Brasil serão lembrados em 22 ridículos!,1,-3,negativo
PARABÉNS 379 Deputados 👏👏👏,1,-1,neutro
O pobre vai ser escravos dos ricos até morrer.,1,-2,negativo
Bolsonaro distribui dinheiro e deputados aprovam em primeiro turno o fim do seu direito à aposentadoria.,1,-2,negativo
Vamos lembrar desse 379 deputados nas próxima eleições. Pra  que eles lembra do que tirou de nós  trabalhadores.,1,-2,negativo
"Bem, não adianta discutir com os eleitores de Boxo , triste dos idudus apenas 400 reais",2,-3,negativo
Arrependimento da vida: TER VOTADO NO BOLSONARO.Velho incompetente e mentiroso! Meu voto não tem nunca mais!!!!,1,-3,negativo
NOJO DESSES POLÍTICOS  USURPADORES E MERCENÁRIOS E PRINCIPALMENTE DESSES ORDINÁRIOS ALIADOS À ESSE DESGOVERNO FRAUDULENTO E TRAPACEIRO E SANGUINÁRIO.,1,-2,negativo
Engula jornaleco mais uma vitoria de bolsonaro.,1,-1,neutro
"O povo só vai sentir a merda que fizeram no futuro, quando forem buscar a aposentadoria. Mas aí vai ser tarde, a miséria já bateu na porta. 😡",1,-2,negativo
Queremos a retirada do BPC da reforma isso e desumano,3,-2,positivo
Chupa petelhadas. 😂😂😂😂😂😂,1,-2,negativo
"O povo vendo esses canalhas comemorando, deveria saber que não pra ele, uma pena, mas o povo brasileiro está de acordo com essa reforma, o futuro será caótico",1,-2,negativo
Não sei se há mais máfia ou falta de carater!!😡??#BrasilSemRumo,1,-2,negativo
Lamentável 😔,1,-3,negativo
So falta liberar o trabalho infantil.  Adoro,2,-2,neutro
"É vendo os bandos reunidos isso só me dá um grande ódio dessa raça, no meio um que alguém da minha família votou pensando que ele diferente, ainda bem que eles se arrependeram, corvarde Valdir.",3,-4,negativo
Parabéns aos banqueiros!,1,-1,neutro
"Falsos patriotas, usa a bandeira  do Brasil para massacrar a população.",3,-2,positivo
Ladrões!,1,-2,negativo
Bando de corruptos,1,-2,negativo
ainda bem que quando eu chegar me aposentar o Bostonaro já está no inferno ele toda a sua corja fazendo arminha pro capeta rsrssss,2,-2,neutro
"Continuem elegendo representantes dos bancos e das grandes empresas, idiotas! Preparem o lombo pra trabalharem até morrer.",3,-2,positivo
"""ABSURDO, REFORMA POLÍTICA E TRIBUTÁRIA TÃO URGENTE E NECESSÁRIA NADA NADA NADA.""",1,-2,negativo
E só tirar os privilégios de vcs que que o Brasil não precisa de reforma .,2,-2,neutro
"""Muito grito, vira demagogia, Imposto de Renda continua absoluto.""",1,-4,negativo
"Não vamos contar em vc ,tá enterrando sua carreira.",2,-2,neutro
"""Goiás sempre a frente na VERGONHA NACIONAL.""",1,-3,negativo
Está acabando com sua carreira.Nunca mais terá meu voto! Traidor!,1,-3,negativo
Esse Rodrigo Maia podia parar de comer picanha 🤔,2,-2,neutro
"Exatamente PSOL coerente, querem escravizar POBRES",3,-2,positivo
Reforma já.,1,-1,neutro
"Os privilégios continuam, POLÍTICOS, JUDICIÁRIO FORA da REFORMA que engana POBRES.",2,-2,neutro
"A favor de uma Reforma justa. Ou seja, contra a proposta atual.",2,-2,neutro
Quem vai pagar essa conta serão os pobres e os jovens que morrerão sem se aposentar.,2,-2,neutro
"""Maracutais prejudicando apenas POBRES, sim você pobre trabalhador será ESCRAVO.""",1,-2,negativo
"Faustão já ensaia despedida do Domingão,como diz Silvio Santos se parcelar em mando minha proposta😲",1,-1,neutro
Bando de irresponsáveis e corruptos.O povo pobre vai morrer trabalhando. Que horror!!!!!!!,1,-2,negativo
Sim a REFORMA!!!,1,-1,neutro
Sim a reforma,1,-1,neutro
Babaca o faustão tá preocupado e muito com previdência kkkkkkkkkkkkjm,2,-4,negativo
Reforma bom para o Brasil,2,-1,positivo
o povo vota no político depois ele tira o teu direito e vc vai sofrer na compra de deputados para aprovar a reforma esse governo é louco,1,-4,negativo
Iracema Bianchi Peres,1,-1,neutro
Joice bucetuda!!,1,-1,neutro
Desgraçada!!,1,-3,negativo
"A questão do índice para calcular a média vai prejudicar muito, vai piorar, ninguém fala sobre isso, nem sabem, do jeito que está vai prejudicar o trabalhador. Acorda Deputados!!!!",1,-3,negativo
#ReformaPrevidenciariaSim o Brasil 🇧🇷 está no caminho certo.,1,-1,neutro
Valeu Frota,2,-1,positivo
"previdência, sim reforma...",1,-1,neutro
O BRASIL CHORA.,1,-4,negativo
"A pobreza em baixa, escrava da ganância de políticos inconsequentes.",1,-3,negativo
Reforma já,1,-1,neutro
Eita velho gagá,1,-2,negativo
Reforma já,1,-1,neutro
Acabar com essa mamata desses políticos corruptos,1,-2,negativo
Reforma já,1,-1,neutro
"O esquerda maldita,o Brasil vai crescer viu,Deus no comando,num futuro bem próximo,não teremos mais pobres para vocês manipularem.",2,-2,neutro
"Paulo Pimenta,cuidado com o Pavão",3,-4,negativo
"Henrique Fontana ,parem com esse blá blá blá,ninguém acredita mais em vocês",1,-2,negativo
Reforma não,1,-1,neutro
Reforma não!,1,-1,neutro
Reforma não,1,-1,neutro
O sujo falando do mal lavado..kkkkkkkkkk,1,-4,negativo
É uma vergonha o argumento dessa base do governo.. kkkkkkk fora bozo,2,-3,negativo
Crueldade é tira dinheiro dos brasileiros pra da para para países comunistas,1,-2,negativo
Reforma da previdência já,1,-1,neutro
Esquerdistas sem noção,1,-1,neutro
Lídice me representa..,1,-1,neutro
"Esquerdistas.depois de saquearem o nosso país,querem ser bom samaritano",3,-1,positivo
Tomara que vc morra na fila do SUS com 90 anos sem aposentadoria Wendel kkkkkkkkk,2,-1,positivo
Falou Tudo tia,1,-3,negativo
Tô quase acreditando que a culpa  do desemprego no Brasil é  do atual governo,1,-2,negativo
Defenderam 16 anos até agora tem consequência,1,-1,neutro
E só trouxa mesmo pra querer essa Reforma,3,-1,positivo
"Tem casa, carro e moto financiada e fala mal do governo anterior..kkkkkkkkkk Aiai manoel",1,-4,negativo
Não tenho nada disso.mas sou realista,1,-1,neutro
Essa aí Lindice da Mata na delação da Odebrecht recebeu R $ 200 mil,3,-2,positivo
Essa Reforma só favorece só os Ricos,1,-1,neutro
Não era nem para está passando por essa votação se o brasil não tivesse sido saqueado.tempos atrás.nak sou  a favor nem de A nem B,2,-1,positivo
Tudo só tá acontecendo em consequências desta turma que saquei as aposentadorias,1,-1,neutro
Eu sou a favor de mudanças que favorece a todos e que não prejudica os pobres que são os mais afetados. Que trabalha todo dia pra colocar o pão em casa. Quem roubou tem sua sentença. Cada um.,3,-3,neutro
Não a reforma da Previdência,1,-1,neutro
Toma lá dá cá.,1,-1,neutro
So vao votar contra os deputados  que nao quer o bem do Brasil,2,-2,neutro
É muito injusta esss Reforma!!,1,-2,negativo
Muita crueldade !!,3,-1,positivo
Tirar dos pobres pra dar pros ricos!!,1,-2,negativo
