Comentário,notaPositiva,notaNegativa,Sentimento
Obrigado Querido Presidente! Votação aprovada por um Brasil melhor!Gloria a Deus dos exércitos! 🙏🏻👏🏻❤️,3,-1,positivo
Agora sim...,1,-1,neutro
Quem foi os canalhas cearense que votou a favor,2,-2,neutro
DALHE!!! 🇧🇷🇧🇷🇧🇷,1,-1,neutro
Vergonha e o fim do povo brasileiro.,1,-3,negativo
vaaaai Brasil 👏👏👏😎👉👉,2,-1,positivo
Só derrota para o povo até agora.,1,-1,neutro
bando de urubus...,1,-2,negativo
Câmara de deputado fdp corruptos!!!,1,-2,negativo
Fudeu!,1,-1,neutro
Só lendo comentários mesmo.,1,-1,neutro
Vai Brasil!!!!!,1,-1,neutro
500 picaretas no congresso e um Pinoquio,1,-1,neutro
Agora estamos lascados...,1,-1,neutro
Todos vendidos...,1,-1,neutro
só digo uma coisa KLLLLKKKKK,2,-1,positivo
Se lascamos ... 👉👌,1,-1,neutro
NINGUÉM SE APOSENTA MAIS....,1,-2,negativo
Engraçado ver o Gado comemorando sem imaginar as consequências...,1,-2,negativo
CRETINOS,1,-1,neutro
Agora sim todo mundo tomou no CÚ,1,-2,negativo
monte safados vagabundos,1,-2,negativo
Triste de mas! Vai quebrar as pernas do povo carente,1,-3,negativo
O cara suborna uma dia antes da votação e os gados achando que foi a melhor coisa do mundo já feita. Meu Deus,2,-2,neutro
"Quem é a favor é rico, empresário, político corrupto ou pobre burro",2,-2,neutro
Agora se lasque de trabalharPobre querendo ser rico,3,-1,positivo
Pra.frente que se anda! #Brasil,1,-1,neutro
Mostra a cara dos bandidos que votaram contra o povo!,1,-2,negativo
"Malditos! São representantes do povo e votaram contra a classe trabalhadora. 😡 Vê se aprende a votar, meu povo!!",1,-2,negativo
Se lascaram daqui uns dias quero ver neguinho fazendo arminha,3,-1,positivo
Agora que vcs vão vê o que é Brasil.,1,-3,negativo
RASGANDO A CONTITUIÇÃO 😠😠😠,1,-2,negativo
"Agora o povo vai comer tampado, pq eles tiraram privilégio dos trabalhadores e manterá os deles.",2,-2,neutro
Parabéns aos pobres e classe média que pensam que são ricos e apoiam esse absurdo! Vão se fuder e levar a maioria da população junto. 😒😒😒😒😒😒,3,-3,neutro
Chora não bb agora é q a peia vai começar 🤣🤣🤣,1,-4,negativo
Ana Fernandes Sousa Sousa,1,-1,neutro
Fumo entrando nos pobres kkkkkkkkkk,2,-2,neutro
Esse povo come a bosta do Bolsonaro e não usam o fio.,2,-2,neutro
COMO É QUE TEM GENTE QUE COMEMORA ISSO?,1,-1,neutro
Lamentável como o pobre só se ferra neste país.,1,-3,negativo
F U D I D O S!! Da pior maneira!!,2,-3,negativo
"Imagino o que vai mudar para melhorar o Brasil que ainda hoje mesmo com tanto investimento não está funcionando nada como economia, educação e segurança 😔",2,-2,neutro
