Comentário,notaPositiva,notaNegativa,Sentimento
E ainda usam a bandeira do Brasil bando de hipócritas,1,-3,negativo
Muita compra de votos,3,-1,positivo
Quanto será que o Bolsonaro deu pro nhonho,1,-1,neutro
Isso pobres comemora comemora daqui um ano a gente conversa...Da uma olhadinha o que aconteceu no Chile,1,-2,negativo
"Com os bolsos cheios da grana, muita felicidade",4,-2,positivo
Bando de desgraçado vão conseguir o que querem..,1,-4,negativo
Meu Deus. lamentável,1,-3,negativo
Desgraça anunciada! Mas a população paralisou....,3,-2,positivo
Chorapetralhas!,1,-1,neutro
"Meu Deus só pessoas hipocritas ,",1,-1,neutro
"Parabéns aos envolvidos, vamos trabalhar que nem um condenado e se Aposentar perto da morte",1,-4,negativo
uruuuul 👏👏👏,2,-1,positivo
O pobre de direita comemora o fim da sua aposentadoria. 🇧🇷#GadoDeMais,1,-2,negativo
Incrível é ver pobre lascado que vai se fu... com esaa reforma comemorando a vitoria de que os explora pqp!,1,-2,negativo
"Nossos aposentados rurais vão sofrer tanto 😭 só vão receber 400,00 por mês,como viver com 400,00 só Deus 😭",1,-5,negativo
Bandos de canalhas só aprovaram porquê foi libertado  recursos,1,-2,negativo
E uma vergonha um escândalo pobre ficar feliz c essa reforma,2,-3,negativo
Mais  uma derrota desses petralhas comunistas ptzada que  esvaziaram os cofres públicos agora são contra a reforma mais justiça divina desceu assim como esses velhos comunistas vão  ser desterrados  já  estão morrendo,2,-3,negativo
Estamos literalmente fudidos 😪😪,1,-1,neutro
chupa PETZADA!!!,1,-2,negativo
Um professor vai trabalhar por mais tempo e ainda sim não vai ganhar o salário de cem por cento. Parte da população vai trabalhar até os 65 anos e ainda sim não vai se aposentar recebendo cem por cento. Cara o que essa gente tá comemorando mesmo?,3,-2,positivo
Comemore só não vem chorar miséria depois vou mandar tomar no c...,1,-4,negativo
"A esquerda deveria ter feito a reforma da previdência, esteve 16 anos no governo porque não fez???",1,-2,negativo
"Quero ver a cara dessa galera que está comemorando quando cair a ficha de que além de pobre é fodido e dificilmente irá aposentar-se. Aqueles que por sorte conseguirem viverão de miséria.Politicos e ricos não sentirão tanto impacto assim, agora nós pobres... ahhhhh nós estaremos ferrados.",3,-3,neutro
Horror,1,-1,neutro
Pobre burro e ignorante tem de monte,1,-3,negativo
"Nossa que horror isso, ninguém merece... mais o futuro aguarda com chave!! Affs ainda comemoram mesmo admitindo a verdade!!😡😡",2,-2,neutro
"PARABÉNS AOS BANQUEIROS.Adeus aposentadoria. Com essa reforma injusta que retira 1trilhao dos trabalhadores e do povo Brasileiro para pagar políticos e banqueiros , ninguém mais vai se aposentar no Brasil. E a longo prazo vai se criar uma geração de idosos jogados nos cantos para morrerem abandonados. Ninguém contrata idoso de 60 anos para trabalhar.ACORDA POVO BRASILEIRO ENQUANTO A TEMPO.!!!",3,-2,positivo
Tô vendo as os especialistas dizendo que o pobre vai morrer pobre. Mais existe pobre no Brasil? Penso eu que o Lula tinha tirado todos da pobreza. .,2,-2,neutro
É ultrajante o que vimos hoje.,1,-3,negativo
"Não entendo desses deputados, o povo vota para representar e  voltam para os trabalhadores nunca se aposentarem é ainda comemoram .....",1,-2,negativo
Os deputados foram todos comprados com dinheiro públicos ...,1,-1,neutro
E bando de dep ja estão ricos ..o Bolsonaro encheu a conta desse bandoBando de miseráveis ...lixo social..Agora fizeram dos brasileiros escravo do sistema...Que apoiou o tal de Bolsonaro vai se arrepender ...vai trabalhar e nunca vai se aposentar...se quebraram,2,-2,neutro
Foi do Rodrigo Maia a reforma e não do Bolsonaro,1,-1,neutro
"por causa de um merda desse que essa reforma é necessária, e ainda tem retardado que apoia o PT e defende presidiário lula kkk 😂😂",2,-2,neutro
Brasileiro merece se fuder mesmo,1,-1,neutro
"Como que o governo tira mais de ""um trilhão"" do sistema previdenciário e diz que a população vai ser beneficiada. A maioria dos brasileiros não faz ideia do quanto vão se prejudicar com essa reforma da previdência. Só não é pior porque os políticos de esquerda deram uma corrigida em muita coisa, senão a tragédia seria muito pior.",3,-4,negativo
Esquerdoidos putos da vida kkkk,2,-4,negativo
"Reforma com esse governo que tá ai é tipo entregar a chave do hospício pros doido, tem gente que arrisca muito!A previdência segundo a auditora Maria Lúcia Fatoreli é superavitária por uns bons anos ainda, mesmo com o atual desemprego e aumento de expectativa de vidaTem marajá, tem privilégios na previdência sim tem, mas pra cortar benefício de pobre nunca precisaram fazer reforma, é só revisar ou cancelar os privilégios",2,-2,neutro
Voltou compra de votos,1,-1,neutro
"Para passar essa maldosa Reforma o presidente fake junto com ministro tchutchuca liberaram a bagatela de 40 milhões na conta dos $angue$$ugas golpistas para votarem a favor da reforma, se venderam  a consciência???? Claro que não,  nunca tiveram. 😡",2,-2,neutro
Qto cada um vai  ganhar por voto??,1,-1,neutro
deviam pegar cada deputado de  cada estado e encher de porrada,1,-2,negativo
"De quando o Bozo criticava a #Reformainjusta. Hoje, já na Presidência, LIBERA VERBAS ALTÍSSIMAS para que a Reforma seja aprovada...UM NOJO...🤢https://www.facebook.com/995100900504903/posts/2757508877597421/",1,-1,neutro
As eleição está chegando,1,-1,neutro
Depois dos 10 milhões distribuídos a esses políticos corruptos.,1,-2,negativo
"O Lula não participou da votação, porque? 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 Deve ta vendo o sol nascer quadrado, velho safado, culpa dele essa reforma",1,-2,negativo
Estão dando tudo de si pra ferrar os pobres. E os pobres aplaudindo...,1,-2,negativo
Q merda!,1,-2,negativo
"Na epoca do pt era mensalão e agora é  o q, hein?",1,-1,neutro
Bolso cheio sorriso na cara e o trabalhador lascado,2,-2,neutro
Cadê os bolsominions comemorando?,1,-2,negativo
Abutres,1,-3,negativo
"Finalmente estão trabalhando pelo Brasil.Só de acabar com a aposentadoria especial dos deputados, essa reforma já valeu",2,-1,positivo
"E o povo de novo toma no c""***",1,-1,neutro
"Eu vi a sessão. Um show de puxassaquismo para fazer o Rodrigo Maia chorar, a TV cortava o áudio quando alguém ia discursar contra essa reforma. Estão tratando como um dia histórico algo que é trágico.",2,-4,negativo
"Empresarios e Banqueiros em festa soltando fogos. Que me indigna e o pobre comemorando, pois e o que mais vai se fuder.",1,-2,negativo
Esses cara que tao comerando essa reforma sao os mesmo que vao ver suas familia passar fome quem plantar vai colher que  Deus nos proteja desse abutres,1,-3,negativo
Espero que vocês entendam de uma vez.,2,-1,positivo
