Comentário,notaPositiva,notaNegativa,Sentimento
"Mano esse povo contra reforma ou é contra o Brasil ou são retardados ! Sem a reforma o Brasil quebra , aí vira uma Venezuela de vez , sem aposentadorias e sem empregos,  pra alegria dos petebas  . FDP .",3,-2,positivo
"Ah vá,  não diga,  ninguém previa isso   kkk",2,-1,positivo
Vão tirar um trilhão da economia e as empresas estão eufóricas com o colapso da economia?Tem algo muito errado aí ! 💩💩💩💩💩💩🤔,1,-3,negativo
Os pobres estão todos comemorando que o rico pode investir.,1,-2,negativo
Investidor especulativo aplaude. O investidor produtivo se ferra.,1,-2,negativo
bolsa de São Paulo atinge recordes né verdade agora vamos ver quanto de dinheiro de investimentos internacionais está entrando na bolsa de São Paulo  esses investimentos são só pessoas nacionais vamos lá o dólar ele abaixa ou não a bolsa bate recorde e o dólar acompanha ou seja se o Brasil não captar investimentos internacionais o dólar continuar alto e com isso o país não ganha nada,2,-2,neutro
O mundo aplaude Bolsonaro economia bomba vamos fazer história Esquerdas nunca mais,1,-2,negativo
"Os políticos são os melhores matemáticos.- Nas contas deles, o cidadão tem data de validade entre 70 a 85 anos. Por isso podem contribuir mais tempo com a previdência.- O piso salarial do pobre é diferente porque eles não tem as despesas de um parlamentar, despesas como: aluguel, plano de saúde, transporte e segurança.*",2,-2,neutro
"Não esqueceremos dos nomes daqueles que condenaram o assalariado à pior das aposentadorias, enquanto Forças Armadas, políticos, judiciário e patrões mamarão no peitinho gordo. Pagarão caro nas urnas.",3,-3,neutro
"Ricos investindo na desgraça do povo, efeito Bolsonaro.",1,-2,negativo
"Mercado especulativo , a desgraça de um povo !",1,-2,negativo
Faz o sinal da arminha  pobre de direita acha que é rico👉👌,1,-2,negativo
Depois sobe com alguma desculpa. Esse país é uma festa pra estrangeiro,1,-2,negativo
Oh ! Más ontem esse jornal de quinta categoria falou que o governo não tinha votos suficiente . Kkk... Jornais em decadência ! Kkk,2,-3,negativo
