Comentário,notaPositiva,notaNegativa,Sentimento
"Reforma da previdência, infelizmente é um mal necessário. O mundo todo está mudando seus sistemas previdenciários pelo simples fato do envelhecimento da população e menor presença de jovens no mercado de trabalho. Não é difícil de entender isso",3,-3,neutro
Senado.......,1,-1,neutro
Até que enfim.,1,-1,neutro
E de goleada,1,-1,neutro
"379 votos, 379 votos! MARAVILHA! IBOVESPA EM 110 MIL PONTOS AMANHÃ!",3,-1,positivo
"REFORMA DA PREVIDÊNCIA | Aécio Neves, Fernando Collor, Renan Calheiros, Rodrigo Maia e Flávio Bolsonaro votarão a favor da reforma. São alguns das dezenas de deputados e senadores condenados ou investigados por corrupção que receberam milhões de Bolsonaro para destruir o direito a aposentadoria no país e entregar o orçamento aos banqueiros, grandes empresários e latifundiários.",3,-3,neutro
Que liberem fgts logo,1,-1,neutro
Chupa esquerda !!!,1,-2,negativo
Agora a esquerda chora,1,-4,negativo
Paulo,1,-1,neutro
E agora o Brasil volta andar.,1,-1,neutro
POBRE COMEMORANDO REFORMA DA PREVIDÊNCIA É COMO BROXA GOZANDO COM PAU DOS OUTROS,1,-2,negativo
😃 As únicas reformas que os esquerdistas aprovaram foram a do tríplex no Guarujá e do sítio de Atibaia! 😂,1,-1,neutro
"Isso ainda vai dar muito choro, vai vendo!!!",1,-4,negativo
Agora o Brasil começa a andar.,1,-1,neutro
Parabéns,1,-1,neutro
eta porra tomei no Cu agora,1,-3,negativo
900 bilhões retirados do povo pobre do Brasil indo parar na mão das elites das oligarquias nepotistas dos banqueiros e financistas do capital vadio que não produz nada,1,-2,negativo
Bruno Paino,1,-1,neutro
"Parabéns, agora o Brasil vai.",1,-1,neutro
Mais um dia triste para a esquerda.,1,-3,negativo
Limpando a cabada do PT,1,-1,neutro
Finalmente. Perderam comunistas.,1,-1,neutro
Partiu guardar dinheiro,1,-2,negativo
Parabéns ao Congresso Nacional!,1,-1,neutro
"Povo mais pobre ferrado. Os ricos não estão nem aí.  Melhor,  porque podem explorar mais os trabalhadores. Mão de obra mais barata. Infelizmente.",2,-3,negativo
Barao Fernando,1,-1,neutro
E agora o trabalhador tomou no toba,1,-1,neutro
"MUITO  BOA  PARA   OS  POBRES  TRABALHADORES,  MAS  PARA  MILITARES  ,  POLITICOS  ,  JUIZES  ,  ETC,  ELES  ESTÃO  FORA  POR  QUE   ELES  NÃO  GOSTA  DE  COISAS  BOA,  KKKKKKKKKKKKKKKKKKKKKKK",3,-2,positivo
Parabéns.. mas daqui a 5 anos teremos outra...essa foi a possível pro momento..,1,-1,neutro
Finalmente !!!,1,-1,neutro
E agora fudeu já era aposentadoria.,1,-1,neutro
Quem tem saco pra resolver  ?,2,-1,positivo
Agora o Brasil VAI  comessar andar e limpar  as sujeiras que o.PT  deixou  parabéns a todos os deputados e deputadas que votaram a favor  ...E QUEM VOU CONTRA VAI TER QUE ENHOLIR,2,-4,negativo
Grande dia,3,-1,positivo
